Depth (mbsf),GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
274.038,94.67849,1.58191,0.726631,0.749501,0.701434,0.701086,0.701714,1536.319
277.3908,99.42986,1.664777,0.722891,0.745046,0.701437,0.705078,0.708008,1565.885
257.8836,91.10233,1.588058,0.747932,0.773274,0.701986,0.701727,0.698642,1572.073
113.9596,91.10233,1.588058,0.747932,0.773274,0.701986,0.701727,0.698642,1572.073
275.562,97.54222,1.670273,0.724819,0.742926,0.702187,0.700514,0.701644,1565.076
279.9816,87.78053,1.596776,0.723879,0.752802,0.702437,0.710523,0.717185,1553.088
257.7312,91.72153,1.57262,0.746892,0.761426,0.702754,0.705798,0.703703,1576.083
113.9596,91.72153,1.57262,0.746892,0.761426,0.702754,0.705798,0.703703,1576.083
281.2008,106.2529,1.673083,0.715628,0.728899,0.703149,0.706903,0.713651,1551.765
209.8776,85.9622,1.573244,0.736,0.79445,0.705196,0.707738,0.706749,1539.735
113.9596,85.9622,1.573244,0.736,0.79445,0.705196,0.707738,0.706749,1539.735
254.226,100.4427,1.626326,0.748432,0.773346,0.70599,0.710407,0.715766,1552.54
113.9596,100.4427,1.626326,0.748432,0.773346,0.70599,0.710407,0.715766,1552.54
275.7144,94.90449,1.654246,0.727964,0.749179,0.70615,0.706489,0.711661,1565.886
275.8668,101.0404,1.651553,0.729581,0.737035,0.706216,0.708506,0.710726,1565.477
26.891,74.07075,1.372566,0.78261,0.793977,0.706534,0.748527,0.76491,1470.956
275.1048,97.78087,1.641709,0.731649,0.74786,0.706582,0.712148,0.719095,1561.537
27.044,77.36787,1.357336,0.782178,0.796576,0.706589,0.747831,0.766713,1470.153
271.1424,95.50127,1.606494,0.73838,0.769047,0.707519,0.708177,0.70966,1554.425
113.9012,95.50127,1.606494,0.73838,0.769047,0.707519,0.708177,0.70966,1554.425
303.756,101.1324,1.667331,0.727897,0.750154,0.707945,0.710323,0.710299,1548.855
256.512,99.3847,1.647495,0.743067,0.762229,0.708042,0.705944,0.701758,1564.264
113.8656,99.3847,1.647495,0.743067,0.762229,0.708042,0.705944,0.701758,1564.264
256.3596,101.9815,1.677487,0.746725,0.765256,0.7083,0.710111,0.711669,1562.278
113.8656,101.9815,1.677487,0.746725,0.765256,0.7083,0.710111,0.711669,1562.278
280.5912,96.15866,1.589507,0.736469,0.74858,0.70851,0.705025,0.707929,1558.899
210.9444,97.56721,1.571391,0.778844,0.850943,0.709025,0.708096,0.735532,1552.085
113.8636,97.56721,1.571391,0.778844,0.850943,0.709025,0.708096,0.735532,1552.085
303.6036,106.1374,1.674002,0.728484,0.747643,0.709116,0.710238,0.711579,1551.96
256.2072,101.2153,1.698738,0.745562,0.770894,0.709241,0.714792,0.716994,1558.343
113.8636,101.2153,1.698738,0.745562,0.770894,0.709241,0.714792,0.716994,1558.343
279.8292,89.64825,1.605533,0.730639,0.759188,0.70953,0.712169,0.717102,1551.475
30.549,68.38032,1.420074,0.790527,0.82249,0.710206,0.746772,0.759951,1472.263
277.2384,101.577,1.647754,0.721821,0.747847,0.710709,0.712674,0.720289,1564.126
30.701,68.44558,1.40778,0.793457,0.820002,0.711425,0.750652,0.76601,1472.569
272.514,101.9839,1.685017,0.756997,0.790642,0.71426,0.71486,0.71096,1542.849
278.1528,99.50092,1.661163,0.741189,0.771684,0.714549,0.719478,0.719488,1564.672
256.6644,94.13907,1.624471,0.737598,0.756106,0.71458,0.714176,0.70631,1567.189
113.8636,94.13907,1.624471,0.737598,0.756106,0.71458,0.714176,0.70631,1567.189
30.396,67.48226,1.425366,0.786349,0.809929,0.714873,0.746511,0.758347,1472.361
235.938,100.2512,1.628789,0.76922,0.805895,0.714946,0.715909,0.717098,1560.803
113.8636,100.2512,1.628789,0.76922,0.805895,0.714946,0.715909,0.717098,1560.803
209.7252,83.64523,1.601581,0.746337,0.795753,0.715073,0.719261,0.716637,1541.257
113.8636,83.64523,1.601581,0.746337,0.795753,0.715073,0.719261,0.716637,1541.257
256.8168,101.1409,1.614939,0.739915,0.759521,0.71614,0.714917,0.709703,1571.87
113.8636,101.1409,1.614939,0.739915,0.759521,0.71614,0.714917,0.709703,1571.87
258.036,89.21599,1.62314,0.745884,0.765472,0.716163,0.717292,0.716243,1570.706
113.8636,89.21599,1.62314,0.745884,0.765472,0.716163,0.717292,0.716243,1570.706
31.311,76.50745,1.391051,0.81853,0.848195,0.716387,0.767671,0.784078,1471.547
279.6768,76.67896,1.609796,0.740805,0.758169,0.716698,0.721203,0.720945,1550.897
214.7544,86.01305,1.600841,0.762033,0.783331,0.716882,0.720275,0.727425,1552.344
113.8636,86.01305,1.600841,0.762033,0.783331,0.716882,0.720275,0.727425,1552.344
278.9148,106.0366,1.654929,0.751436,0.772948,0.717043,0.719017,0.723321,1566.158
303.2988,106.3379,1.653545,0.72299,0.745866,0.717221,0.718735,0.722922,1553.104
253.6164,105.8493,1.627222,0.746922,0.781401,0.717501,0.718306,0.724062,1564.435
113.8072,105.8493,1.627222,0.746922,0.781401,0.717501,0.718306,0.724062,1564.435
30.854,72.39863,1.397773,0.810368,0.833059,0.717599,0.764282,0.776188,1472.616
279.372,96.66738,1.622966,0.74005,0.76984,0.717718,0.721829,0.724117,1554.483
247.2156,93.82619,1.632824,0.764137,0.797745,0.717954,0.725782,0.728277,1554.359
113.8072,93.82619,1.632824,0.764137,0.797745,0.717954,0.725782,0.728277,1554.359
