Depth (mbsf),GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
758.6472,88.67825,2.091013,1.606245,1.652866,1.536834,1.553705,1.560012,1829.42
758.7996,88.10973,2.079322,1.616526,1.674149,1.571107,1.576469,1.577919,1860.724
758.952,84.50304,2.06944,1.638949,1.684493,1.598195,1.601794,1.599013,1882.851
759.1044,83.48051,2.066904,1.649611,1.700298,1.611146,1.612614,1.609223,1875.433
759.2568,85.78043,2.060505,1.661245,1.695921,1.610197,1.611461,1.608875,1862.799
759.4092,85.45093,2.057498,1.665644,1.7096,1.597862,1.599925,1.599331,1865.001
759.5616,83.19569,2.064361,1.66496,1.725136,1.595149,1.591017,1.58626,1862.799
759.714,82.11612,2.061723,1.661354,1.7325,1.611274,1.603999,1.600746,1862.799
759.8664,82.14281,2.055567,1.657021,1.720613,1.622345,1.612412,1.611091,1867.214
760.0188,81.88942,2.065834,1.677153,1.728824,1.617527,1.612006,1.608754,1867.214
760.1712,79.28486,2.144554,1.673047,1.713816,1.608294,1.602862,1.601826,1867.214
760.3236,77.93267,2.146779,1.668683,1.735773,1.589758,1.581294,1.583309,1869.426
760.476,77.32473,2.139449,1.661637,1.726424,1.582303,1.578614,1.577211,1872.764
760.6284,75.82017,2.14925,1.658712,1.735875,1.590633,1.583459,1.580834,1872.764
760.7808,78.22746,2.144969,1.664692,1.725906,1.590722,1.583965,1.575712,1862.82
760.9332,80.31903,2.161011,1.660531,1.724651,1.60514,1.594663,1.58752,1852.946
761.0856,81.24279,2.169782,1.66159,1.7194,1.598785,1.595038,1.5927,1845.357
761.238,76.72249,2.173888,1.657358,1.711987,1.611577,1.610157,1.611136,1836.754
761.3904,76.66933,2.154413,1.668975,1.721755,1.606242,1.606424,1.606218,1820.901
761.5428,76.37592,2.137795,1.654816,1.688419,1.602788,1.59959,1.597629,1793.011
761.6952,80.14226,2.125195,1.643127,1.69548,1.592894,1.58848,1.582782,1774.694
761.8476,80.75661,2.136499,1.653956,1.688149,1.577931,1.568874,1.565597,1774.694
762,82.98196,2.140702,1.632908,1.671163,1.593858,1.593486,1.595304,1790.938
762.1524,85.99004,2.131526,1.62645,1.685357,1.533782,1.543774,1.556102,1823.11
762.3048,85.20043,2.103883,1.620784,1.658552,1.524637,1.539815,1.548154,1858.569
762.4572,82.64209,2.074614,1.613803,1.661873,1.546112,1.569674,1.570719,1887.404
762.6096,84.14939,2.071168,1.629087,1.646635,1.544011,1.573169,1.573869,1896.424
762.762,88.7657,2.056753,1.62549,1.650054,1.566932,1.566937,1.560244,1889.61
762.9144,89.22062,2.063962,1.61548,1.642412,1.699372,1.680088,1.682186,1877.252
763.0668,86.73032,2.127309,1.616785,1.636196,1.738577,1.743687,1.760693,1857.386
763.2192,81.46436,2.159952,1.599613,1.634685,1.664235,1.695128,1.718002,1827.338
763.3716,82.51755,2.164798,1.57484,1.636669,1.575979,1.606144,1.619049,1807.257
763.524,84.40603,2.168963,1.583311,1.643554,1.508605,1.520389,1.518804,1802.093
763.6764,88.01698,2.145625,1.576879,1.632467,1.460684,1.455044,1.449196,1789.854
763.8288,89.37109,2.134498,1.571778,1.624812,1.462475,1.45718,1.458305,1772.731
763.9812,88.46834,2.120132,1.556046,1.62223,1.452738,1.455356,1.460587,1766.735
764.1336,85.6849,2.109188,1.560816,1.625362,1.425048,1.436026,1.438718,1772.704
764.286,88.01698,2.102728,1.55135,1.630946,1.454886,1.462747,1.468366,1783.758
764.4384,85.00785,2.09008,1.542503,1.641675,1.485432,1.485115,1.481157,1794.913
764.5908,82.96973,2.079715,1.557738,1.627123,1.467581,1.478005,1.479208,1804.166
764.7432,80.6299,2.073149,1.576968,1.621962,1.504093,1.51302,1.513317,1804.166
764.8956,83.68919,2.074717,1.576529,1.634796,1.550949,1.546047,1.537193,1799.002
765.048,88.05542,2.090434,1.578757,1.62778,1.572715,1.569547,1.563917,1802.093
765.2004,89.06622,2.067449,1.593559,1.638358,1.578296,1.572726,1.567031,1816.702
765.3528,89.76835,2.014529,1.584935,1.6335,1.599641,1.591784,1.588937,1836.783
765.5052,88.83012,2.000029,1.60204,1.650002,1.59437,1.590046,1.588211,1848.599
765.6576,89.18118,2.018402,1.603917,1.648225,1.602928,1.599612,1.600155,1848.599
765.81,86.47297,2.015067,1.607299,1.646501,1.598201,1.595738,1.599742,1833.613
765.9624,87.71606,2.018446,1.609244,1.657472,1.578512,1.579478,1.58404,1821.88
766.1148,85.55401,1.986766,1.606389,1.6528,1.5705,1.57744,1.581671,1821.88
766.2672,86.45132,1.966613,1.61362,1.644362,1.570251,1.579602,1.587444,1813.532
766.4196,83.66787,2.006078,1.602613,1.643755,1.547795,1.558056,1.566949,1807.257
766.572,87.88615,2.032917,1.602121,1.647867,1.535087,1.539376,1.544026,1815.604
766.7244,88.94479,2.034316,1.613473,1.651947,1.531584,1.535508,1.543427,1827.176
766.8768,90.77599,2.014317,1.604629,1.649997,1.525728,1.523753,1.527095,1838.909
767.0292,85.20911,2.048665,1.581005,1.638117,1.521505,1.522449,1.522817,1838.909
767.1816,84.95835,2.065235,1.57949,1.646544,1.500293,1.499713,1.503397,1832.472
767.334,84.64829,2.049814,1.554841,1.6299,1.484616,1.478157,1.47959,1839.618
767.4864,87.75513,2.081013,1.56798,1.64583,1.479514,1.474044,1.476651,1834.628
767.6388,88.75295,2.077191,1.570618,1.643777,1.473207,1.474433,1.479534,1828.22
767.7912,88.80609,2.076432,1.564592,1.658139,1.458317,1.463854,1.472066,1834.628
767.9436,91.46674,2.082482,1.57352,1.657741,1.454386,1.458719,1.470089,1853.018
768.096,90.26038,2.112004,1.599448,1.650564,1.460022,1.467605,1.476888,1872.791
768.2484,89.73927,2.056566,1.606685,1.657963,1.458057,1.475562,1.476511,1893.087
768.4008,86.37907,2.047819,1.635506,1.692162,1.490551,1.506894,1.500178,1912.557
768.5532,85.13322,2.060152,1.646479,1.679765,1.540015,1.548005,1.537347,1912.557
768.7056,84.40353,2.087085,1.683016,1.69436,1.548177,1.538038,1.524427,1893.087
768.858,81.74165,2.126112,1.690935,1.70252,1.655015,1.631448,1.622501,1868.397
769.0104,81.44073,2.137858,1.699893,1.717162,1.75931,1.749153,1.759524,1848.625
769.1628,81.49338,2.150829,1.702778,1.723585,1.755498,1.763469,1.781826,1829.356
769.3152,82.92279,2.139017,1.6949,1.738641,1.68337,1.70743,1.715979,1834.764
769.4676,83.87183,2.122182,1.703357,1.733325,1.610889,1.632226,1.633646,1854.033
769.62,88.00514,2.114502,1.684638,1.754537,1.566328,1.572493,1.564642,1842.217
769.7724,92.29689,2.098009,1.678619,1.75757,1.549576,1.540451,1.52363,1820.857
769.9248,96.06216,2.114964,1.692956,1.770503,1.570589,1.54703,1.53241,1806.248
770.0772,95.38934,2.10671,1.694028,1.764922,1.651826,1.631104,1.643197,1806.248
770.2296,94.93198,2.099852,1.691494,1.770474,1.698052,1.708425,1.742129,1834.854
770.382,93.17665,2.087429,1.683668,1.770942,1.665447,1.69848,1.731429,1880.904
770.5344,93.47325,2.040606,1.709795,1.785551,1.616238,1.666144,1.696508,1918.438
770.6868,91.9663,2.013814,1.727995,1.836366,1.572777,1.616203,1.639055,1936.039
770.8392,88.75182,2.130845,1.764606,1.856637,1.62403,1.639923,1.646025,1943.191
770.9916,84.9081,2.187308,1.813679,1.849715,1.802819,1.814842,1.821805,1956.518
771.144,83.11102,2.133854,1.831355,1.880688,1.907424,1.930689,1.954312,1969.91
771.2964,82.73961,2.181672,1.87073,1.914487,1.892553,1.918562,1.948039,1969.91
771.4488,82.87386,2.170818,1.88401,1.937274,1.908158,1.92364,1.944204,1954.122
771.6012,84.90501,2.194556,1.897124,1.94389,1.947283,1.962453,1.97263,1930.158
771.7536,85.50266,2.182617,1.905159,1.977051,1.908839,1.928354,1.943807,1917.188
771.906,88.99077,2.136768,1.919761,1.982404,1.852658,1.877016,1.896137,1923.068
772.0584,87.95735,2.190248,1.919571,1.991699,1.840002,1.865936,1.877088,1942.051
772.2108,87.28447,2.169281,1.923808,1.975912,1.866751,1.892434,1.897287,1952.82
772.3632,82.69179,2.184885,1.931363,1.974079,1.880965,1.89551,1.899163,1957.684
772.5156,81.08711,2.158563,1.929695,1.970564,1.878582,1.894872,1.898495,1962.548
772.668,82.58782,2.178321,1.922655,1.962713,1.901878,1.909762,1.910988,1962.548
772.8204,81.38793,2.188106,1.92831,1.973583,1.924078,1.933644,1.937803,1964.998
772.9728,80.33984,2.190253,1.929175,1.946269,1.946816,1.953679,1.957721,1956.518
773.1252,81.09599,2.22846,1.898522,1.970303,1.934494,1.937204,1.94884,1933.724
773.2776,82.39994,2.149689,1.887099,1.948634,1.867616,1.874564,1.888006,1921.861
773.43,81.48991,2.157344,1.876454,1.951481,1.84628,1.860749,1.869104,1921.861
