Depth (mbsf),GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
715.6704,89.62553,2.084561,1.536473,1.517507,1.565688,1.628663,1.705097,1874.987
715.8228,89.10781,2.084717,1.556015,1.490691,1.546493,1.612187,1.686407,1872.764
715.9752,89.57385,2.091417,1.545316,1.475351,1.509911,1.638526,1.726161,1870.536
716.1276,88.48766,2.102544,1.493164,1.478536,1.526761,1.592458,1.669659,1870.536
716.28,86.48393,2.107491,1.487005,1.550365,1.547746,1.559946,1.642139,1867.214
716.4324,84.66656,2.096059,1.540979,1.565088,1.568146,1.605521,1.662148,1862.799
716.5848,83.89147,2.093003,1.531916,1.561232,1.488195,1.533494,1.582007,1865.012
716.7372,82.00701,2.09112,1.494922,1.551416,1.416433,1.42505,1.480755,1881.784
716.8896,82.42628,2.09922,1.532951,1.561509,1.525826,1.516791,1.555376,1891.87
717.042,83.9823,2.11005,1.508232,1.567952,1.488602,1.514042,1.541521,1891.87
717.1944,85.53789,2.108569,1.591453,1.594987,1.427196,1.463896,1.487525,1895.281
717.3468,84.19157,2.100592,1.573568,1.60116,1.416685,1.42647,1.425082,1897.563
717.4992,83.87272,2.098997,1.596957,1.615999,1.380221,1.380218,1.37935,1887.404
717.6516,86.72594,2.104607,1.585062,1.611769,1.463017,1.46542,1.477809,1873.874
717.804,89.57392,2.099761,1.584486,1.605035,1.503559,1.510466,1.524952,1871.646
717.9564,90.71856,2.114816,1.578682,1.611066,1.470998,1.480429,1.490905,1871.646
718.1088,88.69908,2.105762,1.570746,1.627365,1.444556,1.441306,1.44021,1872.759
718.2612,87.96854,2.108414,1.574876,1.641319,1.442086,1.435417,1.433107,1869.436
718.4136,85.8975,2.104719,1.583281,1.629242,1.453184,1.4486,1.435013,1865.001
718.566,83.46377,2.100034,1.573501,1.625741,1.461865,1.46153,1.455384,1870.552
718.7184,79.89123,2.112667,1.574988,1.61014,1.452559,1.466658,1.468131,1878.341
718.8708,78.38397,2.114392,1.551077,1.575512,1.468433,1.470719,1.46225,1876.113
719.0232,79.77654,2.119822,1.538085,1.546726,1.497226,1.492053,1.476298,1870.536
719.1756,83.35467,2.118065,1.511755,1.531163,1.54351,1.526487,1.513914,1872.764
719.328,82.12001,2.11833,1.501331,1.517744,1.594077,1.572657,1.552863,1882.851
719.4804,81.76032,2.134359,1.486052,1.514004,1.612038,1.592091,1.587674,1904.56
719.6328,82.63783,2.135271,1.462043,1.507051,1.603745,1.576178,1.608748,1907.971
719.7852,85.45992,2.13717,1.435381,1.517374,1.573475,1.54709,1.609156,1896.421
719.9376,88.20708,2.141207,1.411874,1.514802,1.458831,1.461609,1.523956,1896.421
720.09,85.07709,2.149029,1.390273,1.514784,1.329198,1.365198,1.411448,1896.421
720.2424,87.79013,2.147873,1.373374,1.508304,1.215914,1.25919,1.287244,1896.421
720.3948,88.76973,2.149833,1.367321,1.517004,1.11136,1.109883,1.109008,1896.421
720.5472,89.93198,2.135488,1.402479,1.50215,1.151583,1.119781,1.115892,1896.421
720.6996,88.33225,2.137488,1.430963,1.501386,1.355792,1.386832,1.420902,1896.421
720.852,84.91892,2.133063,1.463605,1.551817,1.438935,1.496918,1.545045,1896.421
721.0044,87.64029,2.133035,1.466143,1.59325,1.423415,1.477716,1.523718,1901.816
721.1568,88.10313,2.124342,1.463585,1.593419,1.429031,1.461895,1.479977,1899.915
721.3092,90.27507,2.104016,1.494156,1.598352,1.453577,1.468707,1.458952,1885.431
721.4616,88.7993,2.092645,1.547331,1.618931,1.443425,1.458624,1.462289,1884.475
721.614,86.99014,2.090835,1.571266,1.661399,1.449218,1.455291,1.47113,1890.534
721.7664,84.97353,2.099873,1.579376,1.685751,1.474895,1.491609,1.512465,1893.132
721.9188,84.11913,2.101816,1.603222,1.684741,1.501532,1.517268,1.541434,1897.581
722.0712,87.89322,2.111198,1.641927,1.665879,1.499849,1.523774,1.536707,1895.115
722.2236,87.97089,2.10607,1.663981,1.682013,1.496605,1.520809,1.535077,1886.846
722.376,90.32117,2.10355,1.684201,1.716941,1.502371,1.519584,1.534962,1878.632
