Depth (mbsf),GR,RHOB,RES,Vp
232.8316,102.8133,1.751367,0.679411,1531.657
236.5456,89.53467,1.915789,0.679461,1585.016
70.5256,88.35663,1.838025,0.679503,1574.928
202.6564,78.22246,1.917018,0.679594,1581.774
210.2764,96.23849,1.726073,0.679616,1529.809
65.4964,95.70602,1.966382,0.679629,1573.014
298.8792,88.01737,1.558777,0.679759,1502.782
200.6752,93.18684,1.691285,0.679806,1520.187
51.628,78.67531,1.794866,0.679821,1577.136
70.3732,89.15701,1.844974,0.680369,1573.182
284.1904,85.86118,1.81027,0.680517,1573.47
301.0128,86.02808,1.52451,0.680818,1472.146
190.9216,20.44882,1.481885,0.680823,1536.795
164.7088,52.26547,1.584979,0.681004,1602.048
424.0936,70.85555,1.83577,0.681167,1563.039
262.8544,70.85555,1.83577,0.681167,1563.039
205.3996,68.40931,1.771078,0.681469,1569.776
61.8388,82.87301,1.748691,0.681607,1533.614
294.4012,100.3435,1.805441,0.681626,1572.359
213.934,100.3435,1.805441,0.681626,1572.359
288.9732,83.95351,1.560802,0.681952,1543.723
240.1468,87.92714,1.782038,0.681993,1555.63
298.2696,94.28808,1.560056,0.682166,1516.453
301.6224,93.35553,1.517161,0.682601,1505.255
51.7804,76.93292,1.568104,0.68282,1585.766
421.198,85.34155,1.942287,0.682923,1560.709
254.1676,85.34155,1.942287,0.682923,1560.709
280.228,115.8781,1.856108,0.68297,1545.198
171.4144,115.8781,1.856108,0.68297,1545.198
282.514,95.53461,1.846703,0.683114,1544.79
178.2724,95.53461,1.846703,0.683114,1544.79
178.12,96.21593,1.842666,0.683345,1544.069
177.9676,96.89725,1.838629,0.683576,1543.883
213.7816,97.24056,1.798038,0.683767,1571.638
258.4348,86.48983,1.800978,0.683784,1516.982
106.0348,86.48983,1.800978,0.683784,1516.982
282.3616,97.57856,1.834593,0.683808,1544.227
177.8152,97.57856,1.834593,0.683808,1544.227
298.422,91.55347,1.564328,0.683819,1515.376
177.6628,97.23331,1.830713,0.684039,1544.977
427.9036,80.78611,1.970976,0.684074,1608.107
55.5904,62.5429,1.468642,0.684123,1564.839
296.136,103.6855,1.584899,0.684193,1542.789
171.1096,111.1403,1.855765,0.684246,1544.534
177.5104,96.88806,1.826833,0.684271,1545.877
196.7128,97.14162,1.715108,0.684327,1509.643
282.2092,96.54282,1.822953,0.684503,1546.617
177.358,96.54282,1.822953,0.684503,1546.617
58.0288,61.89544,1.549269,0.684659,1558.513
114.112,105.1203,1.842696,0.684736,1516.112
200.5228,93.53239,1.699796,0.684859,1517.714
303.088,87.17379,1.797673,0.68546,1554.893
239.9944,87.17379,1.797673,0.68546,1554.893
293.2404,88.65067,1.558194,0.685498,1527.093
213.6292,94.13762,1.790634,0.68567,1570.655
171.5668,113.9746,1.854389,0.685687,1545.409
297.8124,93.87071,1.544337,0.685829,1457.847
51.9328,71.85166,1.405005,0.685847,1598.712
107.7112,91.7122,1.856939,0.685885,1520.732
295.2216,91.5897,1.578086,0.686026,1555.098
295.374,91.39578,1.579354,0.686032,1556.613
223.2304,90.63586,1.766258,0.686449,1572.077
107.5588,93.59887,1.855584,0.68653,1520.512
55.438,69.10224,1.358081,0.686563,1566.32
294.2488,91.03468,1.783231,0.686619,1569.512
213.4768,91.03468,1.783231,0.686619,1569.512
294.3072,93.45848,1.630278,0.686647,1550.118
231.7648,93.54847,1.740359,0.687071,1533.046
258.892,95.48553,1.854228,0.687175,1519.206
107.4064,95.48553,1.854228,0.687175,1519.206
261.178,104.9555,1.842503,0.687251,1516.895
114.2644,104.9555,1.842503,0.687251,1516.895
108.6256,83.01871,1.833207,0.687294,1522.5
292.4784,78.54565,1.508438,0.687362,1511.656
108.4732,83.75446,1.837848,0.687396,1520.717
255.3868,76.75378,1.915525,0.687438,1555.776
297.5076,91.06015,1.553657,0.687493,1453.599
259.1968,84.4902,1.842489,0.687497,1519.445
108.3208,84.4902,1.842489,0.687497,1519.445
259.8064,76.22069,1.910412,0.687538,1573.743
208.2952,80.98104,1.839408,0.68774,1534.126
317.7184,82.34061,1.799881,0.68786,1578.402
283.8856,82.34061,1.799881,0.68786,1578.402
436.438,82.13693,1.93521,0.687897,1555.12
205.3996,91.22579,1.7942,0.688108,1511.803
259.0444,89.82553,1.858295,0.688182,1520.072
107.8636,89.82553,1.858295,0.688182,1520.072
289.5828,85.15454,1.528737,0.688274,1543.956
54.2188,69.91051,1.881018,0.68834,1562.297
61.9912,84.3388,1.792287,0.688383,1533.975
171.7192,112.071,1.85267,0.688418,1545.497
297.2968,94.53655,1.770261,0.688466,1574.666
222.6208,94.53655,1.770261,0.688466,1574.666
298.1172,83.95136,1.548624,0.688605,1496.44
197.0176,93.64102,1.722782,0.688608,1508.949
255.2344,78.00389,1.911492,0.688697,1556.168
63.058,99.66809,1.821355,0.688984,1585.568
55.2856,76.20448,1.302305,0.689016,1559.217
259.3492,82.28297,1.828566,0.689154,1524.65
108.778,82.28297,1.828566,0.689154,1524.65
113.9596,105.2851,1.842889,0.689374,1515.676
53.6092,58.69385,1.781663,0.689444,1552.084
404.8912,68.57051,1.797964,0.689446,1567.421
205.2472,68.57051,1.797964,0.689446,1567.421
190.4644,20.32204,1.482238,0.689447,1530.262
208.4476,86.58315,1.830717,0.689564,1532.49
234.0508,101.8284,1.794192,0.689591,1522.567
232.222,97.72225,1.737131,0.689621,1536.433
114.4168,103.9637,1.843924,0.689783,1518.332
222.4684,92.9773,1.770411,0.689944,1575.312
172.9384,94.94051,1.861637,0.689948,1543.785
421.5028,79.25401,1.907459,0.689961,1556.303
255.082,79.25401,1.907459,0.689961,1556.303
172.1764,104.8237,1.85195,0.690009,1545.051
173.0908,95.74492,1.858672,0.69021,1543.776
108.016,88.04709,1.853026,0.690229,1519.223
206.314,89.04443,1.807312,0.690253,1543.482
108.1684,86.26865,1.847757,0.69043,1518.908
204.4852,85.00351,1.743887,0.690519,1511.026
300.0984,90.40752,1.573482,0.690641,1485.83
60.9808,94.3105,1.779192,0.690835,1531.393
297.2028,97.00081,1.552686,0.690895,1462.372
280.6852,94.13611,1.864601,0.690907,1543.802
172.786,94.13611,1.864601,0.690907,1543.802
218.2576,84.17836,1.875394,0.691097,1595.031
168.6712,62.52029,1.695946,0.691261,1638.214
52.8472,72.80923,1.684272,0.691301,1592.222
172.6336,96.808,1.860551,0.691324,1543.94
222.316,91.41805,1.77056,0.691427,1575.727
59.4004,73.06329,1.663135,0.691475,1536.903
