Depth (mbsf),GR,Vp,RES,RHOB
294.2488,91.03468,1569.512,0.686619,1.783231
213.4768,91.03468,1569.512,0.686619,1.783231
294.3072,93.45848,1550.118,0.686647,1.630278
231.7648,93.54847,1533.046,0.687071,1.740359
258.892,95.48553,1519.206,0.687175,1.854228
107.4064,95.48553,1519.206,0.687175,1.854228
261.178,104.9555,1516.895,0.687251,1.842503
114.2644,104.9555,1516.895,0.687251,1.842503
108.6256,83.01871,1522.5,0.687294,1.833207
292.4784,78.54565,1511.656,0.687362,1.508438
108.4732,83.75446,1520.717,0.687396,1.837848
255.3868,76.75378,1555.776,0.687438,1.915525
297.5076,91.06015,1453.599,0.687493,1.553657
259.1968,84.4902,1519.445,0.687497,1.842489
108.3208,84.4902,1519.445,0.687497,1.842489
259.8064,76.22069,1573.743,0.687538,1.910412
208.2952,80.98104,1534.126,0.68774,1.839408
317.7184,82.34061,1578.402,0.68786,1.799881
283.8856,82.34061,1578.402,0.68786,1.799881
436.438,82.13693,1555.12,0.687897,1.93521
205.3996,91.22579,1511.803,0.688108,1.7942
259.0444,89.82553,1520.072,0.688182,1.858295
107.8636,89.82553,1520.072,0.688182,1.858295
289.5828,85.15454,1543.956,0.688274,1.528737
54.2188,69.91051,1562.297,0.68834,1.881018
61.9912,84.3388,1533.975,0.688383,1.792287
171.7192,112.071,1545.497,0.688418,1.85267
297.2968,94.53655,1574.666,0.688466,1.770261
222.6208,94.53655,1574.666,0.688466,1.770261
298.1172,83.95136,1496.44,0.688605,1.548624
197.0176,93.64102,1508.949,0.688608,1.722782
255.2344,78.00389,1556.168,0.688697,1.911492
63.058,99.66809,1585.568,0.688984,1.821355
55.2856,76.20448,1559.217,0.689016,1.302305
259.3492,82.28297,1524.65,0.689154,1.828566
108.778,82.28297,1524.65,0.689154,1.828566
113.9596,105.2851,1515.676,0.689374,1.842889
53.6092,58.69385,1552.084,0.689444,1.781663
404.8912,68.57051,1567.421,0.689446,1.797964
205.2472,68.57051,1567.421,0.689446,1.797964
190.4644,20.32204,1530.262,0.689447,1.482238
208.4476,86.58315,1532.49,0.689564,1.830717
234.0508,101.8284,1522.567,0.689591,1.794192
232.222,97.72225,1536.433,0.689621,1.737131
