Depth (mbsf),GR,Vp,RES,RHOB
85.4964,71.08731,1563.418,1.336382,1.917194
85.6488,72.36237,1563.418,1.334633,1.912514
85.8012,73.56602,1566.527,1.239174,1.905373
85.9536,76.57514,1563.418,1.344056,1.909972
86.106,74.62637,1563.418,1.390183,1.938725
86.2584,72.0686,1563.418,1.398618,1.971961
86.4108,70.41357,1563.418,1.410202,1.948024
86.5632,72.81745,1560.323,1.427508,1.918052
86.7156,75.5181,1557.72,1.436099,1.883005
86.868,74.99152,1557.769,1.473467,1.862494
87.0204,72.28672,1559.971,1.482651,1.872311
87.1728,70.85804,1562.178,1.47075,1.896545
87.3252,69.88008,1564.391,1.478647,1.912315
87.4776,71.23419,1565.042,1.481002,1.910014
87.63,71.61373,1557.511,1.30075,1.913885
87.7824,73.72012,1550.053,1.311163,1.901409
87.9348,72.21556,1563.418,1.285677,1.900643
88.0872,72.0686,1563.418,1.363529,1.902982
88.2396,69.9622,1566.527,1.36485,1.897521
88.392,69.05947,1568.086,1.37583,1.901466
88.5444,68.38241,1571.212,1.385396,1.910369
88.6968,67.02195,1571.212,1.319634,1.898979
88.8492,69.42925,1574.352,1.31904,1.911859
89.0016,70.02414,1574.352,1.356313,1.942463
89.154,71.83597,1568.086,1.362262,1.935662
89.3064,74.24327,1568.086,1.311985,1.917663
89.4588,71.54201,1564.971,1.398856,1.912593
89.6112,69.73653,1568.086,1.328213,1.897099
89.7636,66.12557,1571.212,1.216772,1.896163
89.916,66.94662,1601.352,1.366777,1.903715
90.0684,69.49737,1606.348,1.301035,1.916901
90.2208,67.54144,1612.828,1.386322,1.958689
90.3732,66.79562,1619.361,1.320181,1.941948
90.5256,66.35126,1607.098,1.279292,1.946014
90.678,66.95308,1594.635,1.476122,1.942925
90.8304,64.84064,1582.364,1.390944,1.937917
90.9828,63.10704,1579.052,1.496505,1.936432
91.1352,65.05591,1590.044,1.481529,1.934343
91.2876,64.9115,1601.19,1.40048,1.917789
91.44,64.83962,1608.469,1.396592,1.891562
91.5924,55.51841,1598.342,1.378587,1.892194
91.7448,60.78437,1588.341,1.371341,1.879782
91.8972,56.12022,1580.747,1.442716,1.899997
92.0496,65.59898,1575.298,1.375209,1.896934
92.202,65.82466,1595.199,1.311467,1.897038
92.3544,72.5952,1608.003,1.307406,1.896737
92.5068,71.84292,1600.76,1.303881,1.892948
92.6592,71.31632,1593.581,1.313442,1.882916
92.8116,71.83902,1586.467,1.314845,1.889409
92.964,71.08674,1586.416,1.323244,1.900879
93.1164,70.03021,1591.15,1.367407,1.915257
93.2688,70.84703,1592.431,1.361551,1.914854
93.4212,72.35159,1592.431,1.320401,1.902872
93.5736,71.7531,1592.431,1.317654,1.89669
93.726,69.58607,1592.703,1.332717,1.898468
93.8784,69.96221,1594.724,1.345917,1.895227
94.0308,73.72363,1596.75,1.348558,1.908639
94.1832,72.51353,1598.781,1.342547,1.892832
94.3356,72.28432,1600.818,1.328891,1.909343
94.488,69.42565,1601.352,1.41528,1.915953
94.6404,71.75714,1601.352,1.609188,1.911236
94.7928,67.84879,1601.352,1.566288,1.908079
94.9452,64.83966,1601.352,1.282939,1.907003
95.0976,62.13182,1600.607,0.97241,1.91517
95.25,64.38866,1598.44,1.38452,1.908057
95.4024,66.3446,1596.279,1.316139,1.911367
95.5548,68.90901,1594.123,1.365387,1.916955
95.7072,69.81175,1591.486,1.300553,1.912079
95.8596,69.96221,1587.061,1.30949,1.918482
96.012,64.54578,1585.031,1.291197,1.932284
96.1644,62.58985,1591.657,1.300932,1.930645
96.3168,61.38306,1584.79,1.310743,1.902012
96.4692,67.84542,1576.232,1.26409,1.876969
96.6216,69.49385,1567.766,1.307994,1.882002
96.774,71.30247,1568.372,1.299057,1.891596
96.9264,67.774,1570.96,1.29477,1.906893
97.0788,72.44474,1573.557,1.309997,1.903823
97.2312,72.74565,1574.884,1.310214,1.919811
97.3836,71.0154,1574.884,1.309182,1.914065
97.536,64.09441,1577.503,1.323884,1.928334
97.6884,60.92885,1580.668,1.323924,1.937373
97.8408,62.12934,1583.845,1.262818,1.923914
97.9932,65.58984,1580.668,1.262305,1.915531
98.1456,66.94993,1577.503,1.268732,1.910172
98.298,66.50171,1577.503,1.266712,1.906251
98.4504,64.69624,1577.503,1.241363,1.90171
98.6028,69.05947,1574.352,1.213174,1.889839
98.7552,70.11266,1571.212,1.229247,1.896717
98.9076,70.18131,1560.323,1.228215,1.867085
99.06,69.57223,1560.323,1.25023,1.878898
99.2124,70.92635,1560.323,1.246063,1.861119
99.3648,71.45952,1560.323,1.223513,1.88564
99.5172,68.15673,1571.212,1.208874,1.881143
99.6696,67.24749,1571.212,1.216256,1.893339
99.822,66.93992,1571.212,1.169667,1.887819
99.9744,65.42899,1563.418,1.171091,1.877774
100.1268,67.09053,1560.323,1.179161,1.858564
100.2792,66.78984,1560.323,1.176188,1.844364
100.4316,70.92666,1560.323,1.196403,1.82964
100.584,71.82225,1560.323,1.217827,1.835038
100.7364,74.38303,1560.323,1.219403,1.84234
100.8888,73.55942,1568.086,1.181184,1.855769
101.0412,71.46017,1568.086,1.126362,1.832177
101.1936,73.04337,1563.418,1.122614,1.822054
101.346,70.18173,1560.323,1.135991,1.785589
101.4984,67.99702,1551.108,1.126473,1.786771
101.6508,64.68699,1543.512,1.128403,1.761756
101.8032,64.38615,1540.495,1.116117,1.755445
101.9556,62.57829,1543.512,1.101531,1.781475
102.108,58.49088,1546.542,1.095294,1.782546
102.2604,55.18694,1546.542,1.108785,1.762444
102.4128,53.91353,1554.167,1.099464,1.746063
102.5652,54.38997,1554.167,1.09677,1.734627
102.7176,56.49459,1554.167,1.086553,1.739195
102.87,55.79076,1554.167,1.067638,1.751238
103.0224,54.77519,1554.167,1.056627,1.756765
103.1748,50.41373,1554.167,1.06788,1.765086
103.3272,51.49369,1554.167,1.061297,1.753948
103.4796,47.76989,1560.323,1.031694,1.74014
103.632,45.73661,1560.323,1.027835,1.73012
103.7844,40.8426,1560.323,1.053135,1.731394
103.9368,38.81144,1566.255,1.047166,1.74147
104.0892,41.59212,1566.255,1.082635,1.752414
104.2416,45.43293,1566.255,1.08373,1.75995
104.394,48.8182,1566.255,1.088531,1.745817
104.5464,49.57537,1564.629,1.087649,1.737444
104.6988,55.44317,1555.044,1.124427,1.742793
104.8512,64.16964,1563.228,1.19842,1.737726
105.0036,69.80857,1571.499,1.245872,1.765395
105.156,71.38836,1579.858,1.261443,1.787732
105.3084,71.9902,1588.306,1.251409,1.840329
105.4608,76.8832,1596.845,1.266355,1.843042
105.6132,74.77681,1596.429,1.231109,1.840998
105.7656,74.24646,1586.196,1.260027,1.840374
105.918,70.47827,1576.094,1.252027,1.857033
106.0704,73.86005,1566.304,1.300473,1.877498
106.2228,74.38318,1569.892,1.27986,1.895662
106.3752,77.38769,1573.496,1.257992,1.912902
106.5276,80.91871,1577.118,1.306862,1.881072
106.68,78.81955,1580.755,1.288919,1.875831
106.8324,76.12273,1586.496,1.271902,1.870113
106.9848,69.20663,1599.827,1.257245,1.897878
107.1372,66.34797,1592.444,1.223331,1.887875
107.2896,64.76477,1582.516,1.220555,1.86884
107.442,59.05072,1574.884,1.23303,1.838488
107.5944,62.51121,1574.884,1.257685,1.848208
107.7468,64.01918,1574.884,1.269941,1.862379
107.8992,68.82754,1592.431,1.269506,1.882886
108.0516,65.66191,1593.692,1.231832,1.86917
108.204,66.71181,1597.211,1.23526,1.855803
108.3564,65.96577,1600.746,1.226643,1.850705
108.5088,67.62068,1597.277,1.187888,1.85031
108.6612,64.53961,1592.39,1.185285,1.871715
108.8136,68.59487,1587.532,1.176623,1.850548
108.966,71.45971,1582.704,1.17739,1.841534
109.1184,73.26517,1577.906,1.147727,1.825508
109.2708,69.66131,1573.746,1.141004,1.824443
109.4232,67.254,1570.654,1.144636,1.805204
109.5756,64.16964,1567.575,1.152716,1.788262
109.728,66.87785,1566.255,1.153247,1.786231
109.8804,64.92192,1566.255,1.156327,1.787551
110.0328,71.46677,1566.255,1.158658,1.777592
110.1852,71.09064,1567.674,1.158488,1.79391
110.3376,72.29428,1570.486,1.166045,1.796681
110.49,64.84669,1573.309,1.169326,1.787946
110.6424,62.06325,1576.811,1.172582,1.779532
110.7948,59.35504,1581.174,1.164766,1.765767
110.9472,61.23574,1582.439,1.14282,1.77141
111.0996,60.63392,1579.813,1.13657,1.781102
111.252,62.58985,1577.195,1.156957,1.767048
111.4044,60.333,1575.778,1.17617,1.799425
111.5568,60.333,1583.642,1.191988,1.781909
111.7092,59.88163,1591.586,1.199143,1.778754
111.8616,60.70295,1599.609,1.18874,1.770121
112.014,63.11025,1596.962,1.191283,1.792403
112.1664,69.27897,1591.399,1.200324,1.810199
112.3188,75.52134,1585.874,1.211115,1.846029
112.4712,76.79309,1586.983,1.251853,1.860912
112.6236,75.58945,1592.756,1.214651,1.879915
112.776,72.1367,1598.571,1.176545,1.889647
112.9284,72.29077,1596.019,1.218444,1.892911
113.0808,69.4321,1585.949,1.228266,1.887861
113.2332,68.45091,1576.005,1.212971,1.879799
113.3856,65.9719,1566.185,1.196319,1.883641
113.538,62.50565,1558.886,1.216782,1.879854
113.6904,64.68678,1568.06,1.250344,1.896468
113.8428,67.08724,1577.342,1.264262,1.908461
113.9952,67.31867,1586.736,1.244863,1.918931
114.1476,65.51691,1585.438,1.239807,1.900915
114.3,64.3201,1585.438,1.238523,1.898565
114.4524,68.45399,1582.255,1.251078,1.909955
