Depth (mbsf),GR,RHOB,RES,Vp
81.2292,70.33835,1.886504,1.222739,1559.278
81.3816,68.15673,1.880828,1.222418,1557.72
81.534,68.98424,1.871135,1.270795,1557.72
81.6864,71.08681,1.879297,1.275688,1557.72
81.8388,75.36726,1.880595,1.270655,1557.72
81.9912,73.03519,1.877616,1.279125,1557.72
82.1436,74.53612,1.888552,1.279272,1557.72
82.296,71.53455,1.897982,1.293575,1557.72
82.4484,75.6685,1.891699,1.299398,1554.167
82.6008,72.5097,1.908967,1.281811,1554.167
82.7532,72.5781,1.906857,1.238024,1557.239
82.9056,68.2122,1.90147,1.224222,1554.167
83.058,68.21541,1.863732,1.229407,1554.167
83.2104,70.84774,1.880573,1.244412,1554.167
83.3628,74.61179,1.882888,1.24101,1551.108
83.5152,74.84091,1.90298,1.232876,1546.542
83.6676,73.34026,1.929351,1.18323,1540.495
83.82,71.23083,1.91299,1.138901,1551.108
83.9724,72.86653,1.897189,1.121444,1557.239
84.1248,72.04259,1.88941,1.163123,1554.167
84.2772,71.89883,1.889446,1.126211,1554.167
84.4296,70.48882,1.897691,1.150663,1554.167
84.582,69.04958,1.901133,1.165763,1551.108
84.7344,68.44775,1.921701,1.188187,1554.167
84.8868,68.44396,1.918674,1.210464,1557.239
85.0392,70.55317,1.901594,1.240765,1563.418
85.1916,71.82871,1.894855,1.280372,1563.418
85.344,72.43434,1.898829,1.30042,1563.418
85.4964,71.08731,1.917194,1.336382,1563.418
85.6488,72.36237,1.912514,1.334633,1563.418
85.8012,73.56602,1.905373,1.239174,1566.527
85.9536,76.57514,1.909972,1.344056,1563.418
86.106,74.62637,1.938725,1.390183,1563.418
86.2584,72.0686,1.971961,1.398618,1563.418
86.4108,70.41357,1.948024,1.410202,1563.418
86.5632,72.81745,1.918052,1.427508,1560.323
86.7156,75.5181,1.883005,1.436099,1557.72
86.868,74.99152,1.862494,1.473467,1557.769
87.0204,72.28672,1.872311,1.482651,1559.971
87.1728,70.85804,1.896545,1.47075,1562.178
87.3252,69.88008,1.912315,1.478647,1564.391
87.4776,71.23419,1.910014,1.481002,1565.042
