Depth (mbsf),GR,Vp,RES,RHOB
95.4024,71.86115,1585.438,1.357446,1.929052
95.5548,73.36588,1580.668,1.427089,1.918165
95.7072,72.78769,1577.503,1.368567,1.893361
95.8596,67.97098,1574.352,1.37834,1.897573
96.012,66.7467,1577.503,1.376113,1.896612
96.1644,65.77015,1577.503,1.404158,1.907205
96.3168,64.61495,1580.668,1.514088,1.912173
96.4692,61.93181,1585.438,1.507802,1.916573
96.6216,63.99031,1585.438,1.565869,1.928536
96.774,66.85278,1585.438,1.62273,1.920159
96.9264,66.75247,1577.503,1.570469,1.907713
97.0788,64.49354,1577.503,1.387818,1.898168
97.2312,63.92616,1577.503,1.350747,1.900028
97.3836,69.78624,1574.352,1.354204,1.906606
97.536,72.843,1574.352,1.31887,1.907067
97.6884,73.25992,1580.668,1.318996,1.920137
97.8408,70.93397,1577.503,1.334579,1.914747
97.9932,71.23949,1585.438,1.370271,1.917608
98.1456,73.79725,1582.255,1.394186,1.926697
98.298,71.96609,1595.067,1.35671,1.937439
98.4504,69.85278,1591.844,1.328837,1.9492
98.6028,67.82162,1591.844,1.296651,1.928389
98.7552,68.62173,1588.635,1.35498,1.930968
98.9076,66.74794,1588.635,1.385353,1.923653
99.06,67.27095,1588.635,1.524284,1.931724
99.2124,66.41964,1585.438,1.77958,1.928409
99.3648,68.54655,1591.844,1.627118,1.911802
99.5172,69.52811,1591.844,1.609043,1.916425
99.6696,67.83408,1595.067,1.662892,1.918051
99.822,66.03315,1595.067,1.66084,1.94898
99.9744,65.25361,1595.067,1.60452,1.959185
100.1268,67.10136,1595.067,1.565303,1.968763
100.2792,68.65607,1595.067,1.52928,1.975047
100.4316,68.90575,1588.635,1.544805,1.960863
100.584,68.45229,1598.302,1.54152,1.944706
100.7364,67.54955,1595.067,1.618738,1.932143
100.8888,66.34693,1591.844,1.601738,1.933866
101.0412,68.60247,1588.635,1.444167,1.906674
101.1936,71.1532,1585.438,1.524991,1.897264
101.346,71.00497,1585.438,1.498433,1.902796
101.4984,69.70441,1580.668,0.933721,1.901644
101.6508,66.10049,1582.255,0.938983,1.906799
101.8032,66.79601,1580.668,1.334149,1.892332
101.9556,66.44495,1574.352,1.281199,1.90394
102.108,69.34958,1574.352,1.320161,1.888347
102.2604,66.92381,1571.212,1.299696,1.895667
102.4128,65.87061,1571.212,1.30161,1.903897
102.5652,64.21542,1568.086,1.284607,1.915071
102.7176,65.41584,1568.086,1.276146,1.910288
102.87,66.46903,1568.086,1.312921,1.871205
103.0224,64.36494,1568.086,1.339756,1.860962
103.1748,67.00117,1568.086,1.36451,1.855196
103.3272,65.87274,1568.086,1.350955,1.873036
103.4796,69.00517,1568.086,1.457662,1.875715
103.632,69.15562,1574.352,1.344401,1.874931
103.7844,69.38131,1585.438,1.332904,1.882236
103.9368,66.80263,1585.438,1.353367,1.886033
104.0892,63.33895,1588.635,1.697062,1.892237
